date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
13:03:04	79085/79085	---MCZ	200	added ('OK')	text/html	date:Sat,%2007%20Dec%202024%2006:08:06%20GMT	https://dashboardkit.io/dashboard/index.html	C:/Users/marwe/Desktop/telpalepro/temp/dashboardkit.io/dashboard/index.html	(from )
13:03:04	6132/6132	---MCZ	200	added ('OK')	text/html	date:Sat,%2007%20Dec%202024%2006:08:05%20GMT	https://dashboardkit.io/robots.txt		(from )
13:03:05	192181/192181	---MCZ	200	added ('OK')	text/css	etag:W/%226753e645-2eeb5%22	https://dashboardkit.io/assets/fonts/phosphor/duotone/style.css	C:/Users/marwe/Desktop/telpalepro/temp/dashboardkit.io/assets/fonts/phosphor/duotone/style.css	(from https://dashboardkit.io/dashboard/index.html)
13:03:05	61687/61687	---MCZ	200	added ('OK')	text/css	etag:W/%226753e645-f0f7%22	https://dashboardkit.io/assets/fonts/tabler-icons.min.css	C:/Users/marwe/Desktop/telpalepro/temp/dashboardkit.io/assets/fonts/tabler-icons.min.css	(from https://dashboardkit.io/dashboard/index.html)
13:03:05	13775/13775	---MCZ	200	added ('OK')	text/css	etag:W/%226753e645-35cf%22	https://dashboardkit.io/assets/fonts/feather.css	C:/Users/marwe/Desktop/telpalepro/temp/dashboardkit.io/assets/fonts/feather.css	(from https://dashboardkit.io/dashboard/index.html)
13:03:05	66211/66211	---MCZ	200	added ('OK')	text/css	etag:W/%226753e645-102a3%22	https://dashboardkit.io/assets/fonts/fontawesome.css	C:/Users/marwe/Desktop/telpalepro/temp/dashboardkit.io/assets/fonts/fontawesome.css	(from https://dashboardkit.io/dashboard/index.html)
13:03:05	538/538	---MCZ	200	added ('OK')	text/css	etag:W/%226753e645-21a%22	https://dashboardkit.io/assets/fonts/material.css	C:/Users/marwe/Desktop/telpalepro/temp/dashboardkit.io/assets/fonts/material.css	(from https://dashboardkit.io/dashboard/index.html)
13:03:07	167138/167138	---MCZ	200	added ('OK')	text/css	etag:W/%226753e645-28ce2%22	https://dashboardkit.io/assets/css/style-preset.css	C:/Users/marwe/Desktop/telpalepro/temp/dashboardkit.io/assets/css/style-preset.css	(from https://dashboardkit.io/dashboard/index.html)
13:03:07	662009/662009	---MCZ	200	added ('OK')	text/css	etag:W/%226753e645-a19f9%22	https://dashboardkit.io/assets/css/style.css	C:/Users/marwe/Desktop/telpalepro/temp/dashboardkit.io/assets/css/style.css	(from https://dashboardkit.io/dashboard/index.html)
13:03:10	88430/88430	---MCZ	200	added ('OK')	text/html	date:Sat,%2007%20Dec%202024%2006:08:06%20GMT	https://dashboardkit.io/dashboard/analytics.html	C:/Users/marwe/Desktop/telpalepro/temp/dashboardkit.io/dashboard/analytics.html	(from https://dashboardkit.io/dashboard/index.html)
13:03:12	74146/74146	---MCZ	200	added ('OK')	text/html	date:Sat,%2007%20Dec%202024%2006:08:06%20GMT	https://dashboardkit.io/dashboard/affiliate.html	C:/Users/marwe/Desktop/telpalepro/temp/dashboardkit.io/dashboard/affiliate.html	(from https://dashboardkit.io/dashboard/index.html)
